E:\hovahyii\.agent-work\s-19949f13\summarize.py:6: DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.fromtimestamp(timestamp, datetime.UTC).
  return datetime.datetime.utcfromtimestamp(ms/1000).strftime('%Y-%m-%d %H:%M')
2026-06-03 03:35 | g50056879 | TEXT_MSG | 3/6/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector are  found in the modernize tracker
2026-06-03 03:36 | g50056879 | IMAGESPAN_MSG | [IMG]Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-03 03:36 | g50056879 | TEXT_MSG | Please update work site list. https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0      @Yim Jian Leon @Kee Yuhang @Pravin AL Sreedharan
2026-06-04 02:05 | g50056879 | IMAGESPAN_MSG | [IMG]Hi, since 27 Days showing under optimization but trend showing traffic lost >20% since 27 days
2026-06-04 02:05 | g50056879 | PICTURE_MSG | [IMG]
2026-06-04 03:52 | g50056879 | IMAGESPAN_MSG | [IMG]04/06/23 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-04 03:52 | g50056879 | TEXT_MSG | Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector are  found in the modernize tracker
2026-06-04 03:53 | g50056879 | TEXT_MSG | Please update work site list. https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0      @Yim Jian Leon @Kee Yuhang @Pravin AL Sreedharan
2026-06-05 03:52 | g50056879 | IMAGESPAN_MSG | [IMG]05/06/23 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-05 03:52 | g50056879 | TEXT_MSG | Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector are  found in the modernize tracker
2026-06-05 03:53 | g50056879 | TEXT_MSG | Please update work site list. https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0      @Yim Jian Leon @Kee Yuhang @Pravin AL Sreedharan
2026-06-08 03:55 | g50056879 | IMAGESPAN_MSG | [IMG]8/6/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-06-08 04:01 | g50056879 | IMAGESPAN_MSG | [IMG]Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-06-08 04:01 | g50056879 | TEXT_MSG | Please update work site list. https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0      @Yim Jian Leon @Kee Yuhang @Pravin AL Sreedharan
2026-06-09 01:45 | g50056879 | TEXT_MSG | Please update work site list！It hasn't been updated recently https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0       @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan
2026-06-09 03:32 | g50056879 | TEXT_MSG | 9/6/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed

Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are rem
2026-06-10 03:58 | g50056879 | IMAGESPAN_MSG | [IMG]10/6/26 Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
